Treatments,Time,Sulfate,Lactate,Glucose,FP_abs,DP_abs,Sulfide
DP_1,0.0,0.0,0.0,0.0,0.0,0.01,0.0
DP_1,6.97,0.0,0.0,0.0,1.55219270316121e-05,0.0425094634012514,0.02634987445541
DP_1,10.28,0.0,0.0,0.0,1.5440356306142e-05,0.0585845576012414,0.0419848949220725
DP_1,18.66,0.0,0.0,0.0,3.33769061726423e-05,0.0722332905790645,0.0456789040063725
DP_1,36.58,0.0,0.0,0.0,0.0002632478601232,0.0970034156514709,0.006184378015905
DP_10,0.0,0.66,0.66,0.66,0.0,0.01,0.0
DP_10,6.97,0.66,0.66,0.66,6.19072156272548e-05,0.0530047581158954,0.0423082730247367
DP_10,10.28,0.66,0.66,0.66,0.0001009327480473,0.202998131452148,0.171862932555238
DP_10,18.66,0.66,0.66,0.66,7.80909377710571e-05,0.243255233256183,0.213641162958335
DP_10,36.58,0.66,0.66,0.66,0.0,0.245866670608521,0.0
DP_2,0.0,0.0,0.0,1.0,0.0,0.01,0.0
DP_2,6.97,0.0,0.0,1.0,2.25891302799791e-05,0.0425107433765356,0.0275926642334967
DP_2,10.28,0.0,0.0,1.0,0.0,0.071999996304512,0.0439014407051625
DP_2,18.66,0.0,0.0,1.0,0.0,0.0717333300908407,0.0489373264047375
DP_2,36.58,0.0,0.0,1.0,5.20146510664672e-05,0.102658756994099,0.024917844548895
DP_3,0.0,0.0,1.0,0.0,0.0,0.01,0.0
DP_3,6.97,0.0,1.0,0.0,0.0,0.040666669011116,0.022782060480795
DP_3,10.28,0.0,1.0,0.0,0.0,0.109933331012726,0.03867340348597
DP_3,18.66,0.0,1.0,0.0,0.0,0.0913333340485891,0.0342648411227125
DP_3,36.58,0.0,1.0,0.0,0.0,0.106333334644636,0.0
DP_4,0.0,0.0,1.0,1.0,0.0,0.01,0.0
DP_4,6.97,0.0,1.0,1.0,6.1481472518709e-06,0.0315938497308228,0.0232589674609467
DP_4,10.28,0.0,1.0,1.0,4.93189249400624e-05,0.0950173421150481,0.058310224937155
DP_4,18.66,0.0,1.0,1.0,8.86424063715896e-05,0.0997780204138087,0.0798271409862325
DP_4,36.58,0.0,1.0,1.0,0.0,0.105599998831749,0.0
DP_5,0.0,1.0,0.0,0.0,0.0,0.01,0.0
DP_5,6.97,1.0,0.0,0.0,2.15478556847747e-05,0.0419117893956605,0.0255424878273867
DP_5,10.28,1.0,0.0,0.0,3.68144944786286e-05,0.0867631839875898,0.0444988910867525
DP_5,18.66,1.0,0.0,0.0,0.0001063444321317,0.0880936578805284,0.07372777988903
DP_5,36.58,1.0,0.0,0.0,0.0,0.135800003409386,0.0278720150121375
DP_6,0.0,1.0,0.0,1.0,0.0,0.01,0.0
DP_6,6.97,1.0,0.0,1.0,0.0,0.0391333295901616,0.023592498864975
DP_6,10.28,1.0,0.0,1.0,4.2200717564075e-05,0.0840244678326094,0.0373872258690375
