Treatments,Time,BT,BV,CH,BU,CS,CA,DP,DSM,MS001,MS008,MS014
DP-BU_0,12,0.0,0.0,0.0,0.724432791,0.0,0.0,0.680025524,0.0,0.0,0.0,0.0
DP-BU_0,24,0.0,0.0,0.0,0.36480403,0.0,0.0,0.893487665,0.0,0.0,0.0,0.0
DP-BV_0,0,0.0,0.005,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0
DP-BV_0,12,0.0,1.413939791,0.0,0.0,0.0,0.0,0.20789352,0.0,0.0,0.0,0.0
DP-BV_0,24,0.0,1.188235427,0.0,0.0,0.0,0.0,0.326731266,0.0,0.0,0.0,0.0
DP-CA_0,0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0
DP-CA_0,12,0.0,0.0,0.0,0.0,0.0,0.002926229,0.131907108,0.0,0.0,0.0,0.0
DP-CA_0,24,0.0,0.0,0.0,0.0,0.0,0.005125868,0.150374126,0.0,0.0,0.0,0.0
DSM-BT_0,0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0
DSM-BT_0,12,1.955203861,0.0,0.0,0.0,0.0,0.0,0.0,0.301296121,0.0,0.0,0.0
DSM-BT_0,24,1.242124183,0.0,0.0,0.0,0.0,0.0,0.0,0.465042455,0.0,0.0,0.0
DSM-BU_0,0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.0
DSM-BU_0,12,0.0,0.0,0.0,0.718495757,0.0,0.0,0.0,0.602670904,0.0,0.0,0.0
DSM-BU_0,24,0.0,0.0,0.0,0.455803879,0.0,0.0,0.0,0.654529481,0.0,0.0,0.0
DSM-BV_0,0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0
DSM-BV_0,12,0.0,0.548462136,0.0,0.0,0.0,0.0,0.0,0.940871181,0.0,0.0,0.0
DSM-BV_0,24,0.0,0.353927163,0.0,0.0,0.0,0.0,0.0,0.597906196,0.0,0.0,0.0
DSM-CH-CS-DP-BU-BV-BT-CA_0,0,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.0,0.0,0.0
DSM-CH-CS-DP-BU-BV-BT-CA_0,12,1.074006217,0.068793552,0.135341326,0.47285259,0.029410725,0.013908409,0.04461936,0.208901129,0.0,0.0,0.0
DSM-CH-CS-DP-BU-BV-BT-CA_0,24,0.879153222,0.020816865,0.125018581,0.247044154,0.049355235,0.034861456,0.037821203,0.233262654,0.0,0.0,0.0
DSM-CH_0,0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0
DSM-CH_0,12,0.0,0.0,0.121029815,0.0,0.0,0.0,0.0,0.225136881,0.0,0.0,0.0
DSM-CH_0,24,0.0,0.0,0.183349663,0.0,0.0,0.0,0.0,0.196983658,0.0,0.0,0.0
DSM-CS_0,0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.0
DSM-CS_0,12,0.0,0.0,0.0,0.0,0.143305311,0.0,0.0,0.543361338,0.0,0.0,0.0
DSM-CS_0,24,0.0,0.0,0.0,0.0,0.2156319,0.0,0.0,0.431201436,0.0,0.0,0.0
DSM-DP_0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0
DSM-DP_0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.113505934,0.469494056,0.0,0.0,0.0
DSM-DP_0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.201355799,0.386810871,0.0,0.0,0.0
MS001-BU_0,0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.005,0.0,0.0
MS001-BU_0,12,0.0,0.0,0.0,0.400214647,0.0,0.0,0.0,0.0,0.773118687,0.0,0.0
MS001-BU_0,24,0.0,0.0,0.0,0.458238909,0.0,0.0,0.0,0.0,0.845427729,0.0,0.0
MS001-BV_0,0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0
MS001-BV_0,12,0.0,0.228360256,0.0,0.0,0.0,0.0,0.0,0.0,1.252306397,0.0,0.0
MS001-BV_0,24,0.0,0.184921763,0.0,0.0,0.0,0.0,0.0,0.0,0.778078253,0.0,0.0
MS001-CA_0,0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0
MS001-CA_0,12,0.0,0.0,0.0,0.0,0.0,0.012593687,0.0,0.0,0.542406301,0.0,0.0
MS001-CA_0,24,0.0,0.0,0.0,0.0,0.0,0.01025841,0.0,0.0,0.466074921,0.0,0.0
MS001-CH-CS,0,0.0,0.0,0.003333333,0.0,0.003333333,0.0,0.0,0.0,0.003333333,0.0,0.0
MS001-CH-CS,12,0.0,0.0,0.010697962,0.0,0.017450254,0.0,0.0,0.0,0.174518453,0.0,0.0
MS001-CH-CS,24,0.0,0.0,0.024283507,0.0,0.044631982,0.0,0.0,0.0,0.350251196,0.0,0.0
MS001-CH-CS-DP-BU-BV-BT-CA_0,0,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.0,0.00125,0.0,0.0
MS001-CH-CS-DP-BU-BV-BT-CA_0,12,0.842660721,0.042401965,0.098717379,0.402269348,0.019037611,0.014389709,0.0257421,0.0,0.501114472,0.0,0.0
MS001-CH-CS-DP-BU-BV-BT-CA_0,24,0.769346418,0.00830126,0.076678711,0.209840355,0.041295032,0.039322753,0.031961932,0.0,0.424920205,0.0,0.0
MS001-CH_0,0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0
MS001-CH_0,12,0.0,0.0,0.095992257,0.0,0.0,0.0,0.0,0.0,0.295841084,0.0,0.0
MS001-CH_0,24,0.0,0.0,0.070376261,0.0,0.0,0.0,0.0,0.0,0.323957073,0.0,0.0
MS001-CS_0,0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.0
MS001-CS_0,12,0.0,0.0,0.0,0.0,0.030717766,0.0,0.0,0.0,0.641448911,0.0,0.0
MS001-CS_0,24,0.0,0.0,0.0,0.0,0.049479962,0.0,0.0,0.0,0.499686719,0.0,0.0
MS008-BT_0,0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0
MS008-BT_0,12,1.456026371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.570640286,0.0
MS008-BT_0,24,1.116446298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.877220347,0.0
MS008-BU_0,0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0
MS008-BU_0,12,0.0,0.0,0.0,0.512974141,0.0,0.0,0.0,0.0,0.0,0.770692505,0.0
MS008-BU_0,24,0.0,0.0,0.0,0.334730204,0.0,0.0,0.0,0.0,0.0,0.713769844,0.0
MS008-BV_0,0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0
MS008-BV_0,12,0.0,0.332224589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009108757,0.0
MS008-BV_0,24,0.0,0.184998902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.863334401,0.0
MS008-CA_0,0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.005,0.0
MS008-CA_0,12,0.0,0.0,0.0,0.0,0.0,0.014131727,0.0,0.0,0.0,0.474701592,0.0
MS008-CA_0,24,0.0,0.0,0.0,0.0,0.0,0.009029464,0.0,0.0,0.0,0.427470531,0.0
MS008-CH-CS-DP-BU-BV-BT-CA_0,0,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.0,0.0,0.00125,0.0
